Bodo Word,English Translation
"Khulumbai","Hi/Hello"
"Ma","What"
"Mung","Is"
"Nwngna","Your name"
"Angni","My"
"A","Is"
"Nwng","You"
"Bode","From"
"Jaiga","Where"
"Ni","Are"
"Assam","Assam"
"Khalamw","Do"
"Sakhri","Job"
"Maoyw","Do"
"Boha","Live"
"Thayw","Where"
"Nwngjwng","You"
"Railaina","Talking"
"Mwjang","Nice"
"Mwndwng","To"
"Khalamdwng","Doing"
"Day","Are"
"Awrwinw","Nothing"
"Dong","Am doing"
"Undun","Sleeping"
"Dwng","Am"
"Nwngnalai","You"
"Maewi","About"
"Beyw","She"
"Sase","Is"
"Somaina","Beautiful"
"Sikhwla","Girl"
"Mwn","A"
"Gwjwnbai","Am happy"
"Biyw","He"
"Dasw","Just"
"Thangbai","Has left"
"Daingli","Daingli"
"Ya","Has"
"Beyau","To come"
"Fwinangou","Here"
"Jakhw","Happened"
"Angkow","Me"
"Raga","Make"
"Fwjwng","Angry"
"Nanga","Don't"
"Awngkharbai","Am feeling"
"Dinwi","Today"
"Jwbwd","Is very hot"
"Songnw","Cook"
"Rwngou","Know to"
"Nama","Do you"
"English","English"
"Swlwngnw","Language"
"Lugwidng","Want to learn"
"Posaiyw","Like"
"Mwjang","Love"
"Mwnbai","Do"
"Mwnw","You"
"Angbw","I too"
"Gwsw","Miss"
"Khangw","You"
"Swiya","Hate"
"Nwngni","Your"
"Besiwa","How"
"Beseba","Old"
"Bwsowr","Years"
"Jabai","Am old"
"Jwmwng","Food"
"Lwmjadw","Fever"
"Sombar","Monday"
"Ao","On"
"Beohai","Here"
"Fwinw","Come"
"Hagwn","Can"
"Au","Yes"
"Besto","Am busy"
"Mwjwng","Goodbye"
"Khema","I'm sorry"
"Bibai","I'm sorry"
"Onanwi","Please"
"Nimaha","Forgive"
"Hwdw","Me"
"Aw","Yes"
"Nonga","No"
"Sabaikhor","Thank you"